,Ingolf,Jono,Albesa
0,A,A,A
1,B,D,B
2,C,E,E
3,E,D,D
4,B,B,B
5,B,E,B
6,E,B,B
7,D,D,D
8,D,D,D
9,D,D,D
10,D,D,D
11,MF,E,E
12,B,E,E
13,B,C,C
14,C,C,C
15,A,A,A
16,F,F,F
17,A,A,A
18,E,E,E
19,D,E,E
20,E,A,E
21,E,D,D
22,A,D,D
23,A,D,D
24,D,D,D
25,B,D,D
26,D,D,D
27,A,A,A
28,B,C,C
29,F,F,F
30,EM,D,D
31,E,E,E
32,E,E,E
33,D,E,E
34,E,E,E
35,D,E,E
36,B,D,D
37,C,B,B
38,C,B,B
39,C,D,D
40,B,D,D
41,B,F,F
42,E,D,E
43,D,D,D
44,CQ,D,D
45,D,D,D
46,CQ,A,C
47,E,E,E
48,A,A,A
49,F,E,E
50,B,E,E
51,C,C,C
52,D,D,D
53,E,E,E
54,CM,B,B
55,E,E,E
56,D,A,D
57,E,E,E
58,EQ,D,D
59,CM,D,D
60,E,E,E
61,B,D,D
62,D,D,D
63,FQ,G,F
64,B,F,B
65,C,C,C
66,D,D,D
67,E,E,E
68,E,A,A
69,D,D,D
70,D,D,D
71,D,D,D
72,D,D,D
73,D,D,D
74,A,A,A
75,EM,D,E
76,D,A,A
77,C,A,A
78,B,C,C
79,C,B,B
80,E,E,E
81,FM,E,E
82,E,D,D
83,FM,E,E
84,C,C,C
85,D,A,A
86,D,D,D
87,A,A,A
88,D,E,E
89,E,E,E
90,A,A,A
91,C,C,C
92,A,A,A
93,EM,D,E
94,EM,D,E
95,E,E,E
96,C,E,E
97,F,F,F
98,A,A,A
99,A,A,A
100,A,A,A
101,A,A,A
102,A,A,A
103,A,A,A
104,B,D,D
105,C,E,E
106,CM,E,E
107,F,E,F
108,A,A,A
109,A,A,A
110,D,E,E
111,E,E,E
112,D,A,D
113,FM,E,F
114,D,E,E
115,EM,D,E
116,E,E,E
117,C,D,D
118,A,D,D
119,A,A,A
120,F,D,D
121,C,B,B
122,E,D,E
123,E,D,D
124,E,D,D
125,E,E,E
126,E,E,E
127,A,A,A
128,A,A,A
129,C,E,E
130,C,D,D
131,F,D,F
132,EM,D,E
133,E,D,D
134,E,E,E
135,F,D,D
136,EM,D,D
137,A,A,A
138,,,
139,,,
