,StatementOne,StatementTwo,StatementThree,StatementFour,PostStatementOne,PostStatementTwo,PostStatementThree,PostStatementFour,MetaphorOne,MetaphorTwo,MetaphorThree,MetaphorFour,AppUsage[SQ001],AppUsage[SQ002],AppUsage[SQ003],AppUsage[SQ004],AppUsage[SQ005],AppUsage[SQ006],AppUsage[SQ007],AppUsage[SQ008],ask1,Age
0,False,True,True,True,False,True,False,True,,,No,,Daily,Not installed,Not installed,Not installed,Not installed,Weekly,Not installed,Not installed,3,31
1,True,False,True,True,True,False,True,False,,,,,Daily,Not installed,Not installed,Not installed,Not installed,"Installed, but rarely used",Not installed,Not installed,5,33
2,False,True,True,True,True,False,True,False,,,,No,Daily,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,4,24
3,True,False,True,True,True,False,True,True,,,No,,Daily,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,3,28
4,False,False,True,True,True,False,True,True,Yes,,,,Weekly,Not installed,Not installed,Not installed,Weekly,Daily,Not installed,Not installed,1,25
5,True,False,True,False,True,False,True,False,,Yes,,,Daily,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,Not installed,2,36
6,True,True,True,True,True,True,True,True,,,,,Daily,Not installed,Not installed,Not installed,Not installed,"Installed, but rarely used","Installed, but rarely used",Not installed,5,28
7,False,True,True,True,False,True,True,True,,,,No,Daily,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,4,51
8,False,False,False,True,True,False,True,True,,,No,,Monthly,Not installed,Not installed,Not installed,"Installed, but rarely used","Installed, but rarely used",Not installed,Weekly,3,34
9,False,True,False,True,False,True,False,True,,,No,,Daily,Not installed,Not installed,Not installed,Weekly,Weekly,Not installed,Not installed,3,33
10,False,True,False,True,False,True,False,True,,,,No,Daily,Not installed,Not installed,Not installed,Not installed,Not installed,Not installed,Not installed,4,32
11,False,True,True,True,False,True,False,True,No,,,,Weekly,Not installed,Not installed,Not installed,"Installed, but rarely used",Daily,Not installed,Not installed,1,45
12,True,True,False,True,False,True,False,True,,,,No,Monthly,Not installed,Not installed,Not installed,Daily,Daily,Not installed,Not installed,4,23
13,True,False,True,True,True,False,True,True,,,,No,Daily,Not installed,Daily,Not installed,Not installed,Daily,Not installed,Not installed,4,33
14,False,True,False,False,True,True,True,False,,,,No,Weekly,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Weekly,4,41
15,True,False,False,True,False,True,False,True,,,,,Daily,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,5,37
16,False,False,True,True,True,False,False,False,,Yes,,,Weekly,Not installed,Not installed,Not installed,Daily,Daily,Not installed,Not installed,2,33
17,True,True,False,True,True,True,False,True,,Yes,,,Daily,Not installed,Not installed,"Installed, but rarely used",Weekly,Weekly,Not installed,Not installed,2,22
18,True,False,True,True,True,False,True,True,,,,,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,Not installed,Not installed,5,28
19,True,False,True,True,False,True,False,True,,,,No,Weekly,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,4,49
20,False,True,False,True,True,False,True,False,Yes,,,,Weekly,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,1,38
21,True,False,True,True,True,False,True,True,,,,No,Daily,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,4,29
22,False,True,True,True,True,True,False,False,,,,No,Daily,Not installed,Monthly,Weekly,Weekly,Daily,Weekly,Not installed,4,37
23,False,True,True,True,True,True,True,True,,,No,,Not installed,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Monthly,3,29
24,False,True,True,True,False,True,True,True,,,,No,Weekly,Not installed,Not installed,Not installed,Daily,Daily,Not installed,Not installed,4,24
25,False,False,False,True,True,False,True,False,,No,,,Daily,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,2,38
26,False,False,False,True,False,True,False,True,No,,,,Weekly,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,1,24
27,False,True,True,True,True,True,False,True,No,,,,Daily,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,1,37
28,False,False,False,True,True,False,True,True,No,,,,Daily,Not installed,Not installed,Not installed,"Installed, but rarely used",Weekly,Not installed,Not installed,1,27
29,True,False,True,True,True,False,True,False,,,No,,Weekly,Not installed,Not installed,Not installed,Daily,Daily,Not installed,Not installed,3,26
30,False,True,False,True,True,True,False,True,,,,,Daily,Not installed,Not installed,Not installed,Not installed,Weekly,Not installed,Not installed,5,29
31,False,False,False,True,False,False,False,True,No,,,,Daily,Not installed,Not installed,Not installed,Not installed,Weekly,Not installed,Daily,1,30
32,True,False,True,True,True,False,True,False,,,,,"Installed, but rarely used",Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,5,48
33,True,False,True,True,True,False,True,True,,,No,,Monthly,Not installed,Not installed,Not installed,Weekly,Daily,Not installed,Daily,3,36
34,True,False,True,True,True,False,True,True,,,No,,Daily,Not installed,Not installed,Not installed,Daily,Daily,Not installed,Not installed,3,49
35,True,False,True,True,True,False,True,True,,,No,,Daily,Not installed,Not installed,Not installed,Daily,Daily,Not installed,Not installed,3,35
36,True,False,True,True,True,False,True,True,,,No,,Daily,Not installed,Not installed,Not installed,Not installed,Weekly,Not installed,Not installed,3,62
37,False,False,True,True,True,False,True,True,,,,,Daily,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,5,38
38,True,True,False,True,True,True,False,True,No,,,,Daily,Not installed,Not installed,Not installed,Daily,Daily,Not installed,Not installed,1,26
39,False,True,False,True,False,True,False,True,,,,No,Weekly,Not installed,Not installed,Not installed,Not installed,Not installed,Not installed,Not installed,4,36
40,False,True,True,True,True,True,True,True,,,No,,Daily,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,3,27
41,True,False,True,True,True,False,True,False,Yes,,,,Daily,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,1,32
42,True,True,False,True,True,False,True,False,,,,,Daily,Not installed,Not installed,Not installed,"Installed, but rarely used",Daily,Not installed,Daily,5,50
43,False,False,False,True,True,True,False,True,,No,,,Daily,Not installed,Not installed,"Installed, but rarely used",Not installed,Weekly,Not installed,Not installed,2,30
44,True,False,True,True,True,False,True,True,,,,,Daily,Not installed,Not installed,Not installed,Not installed,Not installed,Not installed,Not installed,5,37
45,True,False,True,True,True,False,True,True,No,,,,Daily,Not installed,"Installed, but rarely used",Not installed,Not installed,Weekly,Not installed,Not installed,1,37
46,False,False,False,True,True,False,True,False,Yes,,,,Weekly,Not installed,Not installed,Not installed,Weekly,Daily,Not installed,Daily,1,30
47,False,True,False,True,False,True,False,True,,,,,Daily,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,5,27
48,True,False,True,True,True,False,True,True,,,No,,Daily,Not installed,Not installed,Not installed,Daily,Weekly,Not installed,Not installed,3,35
49,True,True,True,True,True,True,True,True,No,,,,Weekly,Weekly,Weekly,Monthly,"Installed, but rarely used",Daily,"Installed, but rarely used",Not installed,1,32
50,True,False,True,True,True,False,True,False,,No,,,Weekly,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,2,35
51,True,False,True,True,True,False,True,True,,,,No,Not installed,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,4,60
52,True,True,True,True,True,False,True,False,,,No,,"Installed, but rarely used",Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,3,34
53,False,False,False,True,False,False,False,True,,No,,,Daily,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,2,28
54,True,False,True,True,True,False,True,True,Yes,,,,Weekly,Not installed,Not installed,Not installed,Not installed,Monthly,Not installed,Not installed,1,31
55,False,True,False,True,False,True,False,True,,No,,,Daily,Monthly,Monthly,Not installed,Daily,Weekly,"Installed, but rarely used",Not installed,2,21
56,True,True,True,True,True,False,True,False,,No,,,"Installed, but rarely used","Installed, but rarely used",Not installed,Not installed,Daily,Daily,Not installed,Not installed,2,46
57,False,True,False,True,False,True,False,True,,,,,Not installed,Not installed,Not installed,Not installed,Daily,Daily,Not installed,Not installed,5,50
58,True,False,True,True,True,False,True,True,,,,,Daily,Monthly,Monthly,Monthly,Weekly,Daily,"Installed, but rarely used",Monthly,5,29
59,False,False,True,True,True,False,True,False,,Yes,,,Daily,Not installed,Not installed,Not installed,Not installed,Monthly,Not installed,Not installed,2,41
60,True,True,True,True,True,True,True,True,,,,,Daily,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,5,35
61,False,False,True,True,True,False,True,True,,,,,Daily,Not installed,"Installed, but rarely used",Not installed,Not installed,Not installed,Not installed,Not installed,5,46
62,False,True,False,True,True,True,True,True,,No,,,Not installed,Not installed,Not installed,Not installed,Not installed,"Installed, but rarely used",Not installed,Not installed,2,64
63,True,False,True,True,True,False,True,True,,,,,Daily,Not installed,"Installed, but rarely used",Not installed,Not installed,Daily,Not installed,Daily,5,37
64,True,False,True,False,True,True,True,False,Yes,,,,Daily,Not installed,Not installed,Not installed,Daily,Daily,Not installed,Daily,1,20
65,False,True,False,True,False,True,False,True,,,,No,Daily,Not installed,Not installed,Not installed,Not installed,Weekly,Not installed,Not installed,4,31
66,True,False,True,True,True,False,True,True,No,,,,Daily,Not installed,Not installed,Not installed,Weekly,Daily,Not installed,Not installed,1,37
67,True,True,True,True,False,True,True,True,,Yes,,,Daily,Not installed,Monthly,"Installed, but rarely used",Daily,Daily,Monthly,Not installed,2,25
68,True,False,True,True,True,False,True,True,,,,,Not installed,Not installed,Not installed,Not installed,Not installed,Weekly,Not installed,Not installed,5,36
69,False,False,True,True,False,False,True,True,,,,No,Daily,Not installed,Not installed,Not installed,Not installed,Not installed,"Installed, but rarely used",Not installed,4,28
70,True,False,True,True,True,False,True,True,,,,,Weekly,Not installed,Not installed,Not installed,Not installed,Not installed,Not installed,Not installed,5,24
71,False,True,True,True,False,True,True,True,,,No,,Weekly,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,3,23
72,False,True,False,True,False,True,False,True,No,,,,Daily,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,1,30
73,False,True,False,True,True,False,True,False,Yes,,,,Daily,Not installed,Not installed,Not installed,Daily,Daily,Not installed,Not installed,1,30
74,True,False,True,False,True,False,True,False,,,,No,Weekly,Not installed,Not installed,Not installed,Daily,Daily,Not installed,Daily,4,49
75,True,True,True,True,True,True,True,True,No,,,,Not installed,Not installed,Not installed,Not installed,Not installed,Weekly,Not installed,Not installed,1,54
76,False,True,False,True,False,True,False,True,,,,,Not installed,Not installed,Not installed,Not installed,Not installed,Monthly,Not installed,Not installed,5,59
77,True,True,False,False,True,True,False,False,,,No,,Not installed,Not installed,Not installed,Not installed,Not installed,Weekly,Not installed,Not installed,3,52
78,True,True,True,True,True,True,True,False,No,,,,"Installed, but rarely used",Not installed,Not installed,Not installed,"Installed, but rarely used",Not installed,Not installed,Not installed,1,45
79,True,False,True,True,True,False,True,True,,Yes,,,Daily,Not installed,"Installed, but rarely used",Not installed,Not installed,Daily,Not installed,Not installed,2,28
80,True,False,True,True,True,False,True,True,,Yes,,,Weekly,Not installed,Not installed,Not installed,Daily,Weekly,Not installed,Not installed,2,43
81,False,True,False,True,False,True,False,True,,,No,,Weekly,Not installed,Not installed,Not installed,Not installed,Not installed,Not installed,Not installed,3,29
82,True,False,True,True,True,False,True,True,,,No,,Weekly,Not installed,Daily,Not installed,Not installed,Monthly,Not installed,Not installed,3,36
83,True,True,True,True,True,True,True,True,,No,,,Daily,Not installed,Not installed,Not installed,Weekly,Weekly,Not installed,Not installed,2,43
84,True,True,True,True,True,True,False,True,,,,,Daily,Not installed,Not installed,Not installed,Monthly,Daily,Not installed,Daily,5,30
